Flat,Duplex,Attic,Location,Bedrooms,Area,Floor,Lift,Garage,GasHeating,RemodeledOrNew,BoxRoom,NumWC,PriceThousandsEuros
1,0,0,San Julian 8,3,75,1,0,0,0,0,1,1,60
1,0,0,San Francisco 19,2,85,-1,0,0,1,0,0,1,85
1,0,0,San Francisco,3,75,3,0,0,0,0,1,1,47
1,0,0,Parra 2,5,164,2,1,0,0,0,1,1,120.6
1,0,0,san  francisco  50,3,65,3,0,0,0,0,1,1,47
1,0,0,san  francisco,3,65,3,0,0,0,0,1,1,47
1,0,0,san benito,1,50,1,1,0,1,1,1,1,90
1,0,0,Pz Torico,3,74,4,0,0,0,0,0,1,35
1,0,0,Ramon y  cajal 7,3,122,4,0,0,1,1,0,1,160
1,0,0,San Andres 8,4,74,3,0,0,0,0,1,1,58
1,0,0,Pz Goya,3,85,2,0,0,0,0,0,1,50
1,0,0,Parra 2,5,164,2,1,0,0,0,1,1,120.6
1,0,0,San Martin,4,117,1,0,1,1,0,1,2,115
1,0,0,San Francisco,2,85,4,0,1,1,0,1,2,99
1,0,0,Comadre,1,50,2,1,0,0,0,0,1,97
1,0,0,Comadre,1,65,2,1,0,0,0,0,1,95
1,0,0,Chantria 6,2,63,3,1,0,1,0,0,1,150
1,0,0,pz domingo gascon,3,80,3,0,0,0,1,0,1,136
1,0,0,parra,5,120,1,0,0,1,0,0,1,120.6
1,0,0,Joaquin arnau,3,80,1,1,0,1,0,1,1,110
1,0,0,tomas nougues,3,137,4,1,0,1,1,1,1,129
1,0,0,pz Torico,2,63,4,1,0,1,0,0,1,125
0,1,0,Abadia,3,113,3,1,0,1,0,1,2,143
1,0,0,san francisco 50,4,80,4,0,0,1,0,0,1,45
1,0,0,parra 31,2,65,3,0,0,0,0,0,1,45
1,0,0,Centro,4,65,2,0,0,0,0,1,1,35
1,0,0,Bajo los arcos,4,105,3,1,1,1,1,1,2,115
1,0,0,San Francisco,3,110,1,1,1,1,1,1,2,125
0,1,1,Amantes 24,4,181,4,1,1,1,1,1,3,275
1,0,0,camino de la estacion 21,3,110,3,1,1,1,1,1,2,168
1,0,0,parra 25,2,55,1,0,0,0,0,1,1,64
1,0,0,joaquin arnau,3,121,0,0,0,0,0,1,1,70
1,0,0,ainsas 3,2,75,1,1,1,1,1,1,1,125
1,0,0,yague de salas 13,8,259,1,1,0,1,0,1,3,200
0,1,1,abadia 3,3,114,3,1,0,1,0,1,2,143
1,0,0,centro,3,97,1,0,0,1,0,1,1,85
1,0,0,temprado 10,3,106,2,0,0,1,0,1,1,100
0,1,0,juderia,3,140,4,1,0,1,0,0,3,246
1,0,0,ronda de ambeles,3,80,4,0,0,0,0,0,1,33
1,0,0,Bajo los arcos 22,4,105,3,1,1,1,0,1,2,122
1,0,0,ainsas,2,75,1,1,1,1,0,1,1,125
1,0,0,camino estacion,4,147,2,1,1,1,0,1,2,195
1,0,0,centro,2,62,2,1,0,1,0,0,1,120
1,0,0,san miguel,3,90,1,1,0,1,1,0,2,145
1,0,0,francisco piquer 8,2,70,0,1,0,0,0,1,2,120
1,0,0,santiago 5,2,82,3,1,0,1,0,0,1,139
1,0,0,comadre 11,1,79,0,1,0,0,0,0,1,96
1,0,0,centro,3,115,2,1,1,1,0,1,2,180
1,0,0,amantes 20,2,65,1,1,0,0,0,0,1,120
1,1,0,domingo gascon 5,3,110,4,0,0,0,0,0,2,180
1,0,0,domingo gascon 3,3,74,1,0,0,1,0,1,1,130
1,0,0,ambeles 18,5,175,2,0,0,1,0,1,2,100
1,0,0,centro,2,83,2,0,0,1,0,0,1,135
1,0,0,centro,3,86,4,0,0,0,0,1,1,52
0,0,1,san francisco,2,78,8,1,0,1,0,1,2,108
1,0,0,nueva 4,5,180,3,1,0,1,0,1,2,500
1,0,0,clavel 2,1,52,2,1,1,1,0,1,1,80
1,0,0,comadre 12,1,42,2,1,0,1,0,0,1,89
